City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sierra grande,-41.606,-65.3557,293.05,35,43,4.4,AR,1711575628
1,blackmans bay,-43.0167,147.3167,282.89,82,8,1.47,AU,1711575628
2,longyearbyen,78.2186,15.6401,269.06,63,75,5.14,SJ,1711575628
3,arraial do cabo,-22.9661,-42.0278,297.13,88,75,2.57,BR,1711575629
4,edinburgh of the seven seas,-37.0676,-12.3116,292.5,93,100,11.18,SH,1711575629
5,klyuchi,52.2667,79.1667,275.89,95,98,4.42,RU,1711575629
6,sasovo,54.3537,41.9199,273.22,94,6,4.02,RU,1711575629
7,uturoa,-16.7333,-151.4333,301.71,70,57,7.3,PF,1711575629
8,fale old settlement,-9.3852,-171.2468,301.77,77,100,3.13,TK,1711575630
9,sao tome,0.3365,6.7273,301.79,80,87,1.36,ST,1711575630
10,dukhan,25.4297,50.7858,294.22,54,45,1.46,QA,1711575630
11,kill devil hills,36.0307,-75.676,282.58,96,100,3.6,US,1711575613
12,saint-pierre,-21.3393,55.4781,297.97,73,40,3.09,RE,1711575630
13,island harbour,50.724,-1.2758,283.67,86,99,8.94,GB,1711575630
14,hawaiian paradise park,19.5933,-154.9731,298.88,84,75,5.14,US,1711575624
15,georgetown,5.4112,100.3354,301.12,85,20,2.06,MY,1711575534
16,port-aux-francais,-49.35,70.2167,279.07,85,100,13.05,TF,1711575631
17,tame,6.461,-71.73,304.27,49,70,2.09,CO,1711575631
18,tiksi,71.6872,128.8694,248.4,96,99,2.64,RU,1711575631
19,gamba,-2.65,10.0,300.5,86,100,1.0,GA,1711575631
20,san patricio,28.017,-97.5169,297.2,46,8,4.06,US,1711575631
21,gamay,12.3854,125.2979,298.92,93,77,3.54,PH,1711575631
22,karratha,-20.7377,116.8463,300.18,52,0,3.53,AU,1711575414
23,horsham,51.064,-0.3272,282.73,80,20,3.09,GB,1711575632
24,aykhal,66.0,111.5,240.95,100,58,2.27,RU,1711575632
25,pyrgos,37.6751,21.441,292.59,59,79,4.85,GR,1711575632
26,udachny,66.4167,112.4,239.39,100,41,2.05,RU,1711575617
27,hamilton,39.1834,-84.5333,283.6,58,75,5.14,US,1711575263
28,iskateley,67.6803,53.1512,254.83,99,55,2.68,RU,1711575632
29,iqaluit,63.7506,-68.5145,259.0,71,20,6.17,CA,1711575618
30,brookings,44.3114,-96.7984,270.44,71,0,8.23,US,1711575354
31,ubari,26.5921,12.7805,296.46,16,42,9.18,LY,1711575423
32,wailua homesteads,22.0669,-159.378,298.39,87,75,7.72,US,1711575633
33,anadyr,64.75,177.4833,255.43,84,100,4.0,RU,1711575633
34,larache,35.1932,-6.1557,288.82,81,66,9.99,MA,1711575633
35,gizo,-8.103,156.8419,298.79,91,100,1.27,SB,1711575633
36,ostersund,63.1792,14.6357,273.49,100,100,4.63,SE,1711575634
37,kidal,18.4411,1.4078,301.54,20,93,4.26,ML,1711575634
38,wynyard,-41.0,145.7167,285.88,61,2,1.74,AU,1711575426
39,manismata,-2.4667,111.0333,295.65,100,100,1.01,ID,1711575634
40,dapa,9.7594,126.0531,299.51,86,60,2.87,PH,1711575634
41,margaret river,-33.95,115.0667,287.96,77,0,1.63,AU,1711575635
42,hermanus,-34.4187,19.2345,290.82,82,100,6.23,ZA,1711575635
43,siwa oasis,29.2041,25.5195,298.93,12,100,4.57,EG,1711575629
44,port mathurin,-19.6833,63.4167,298.75,64,85,8.17,MU,1711575627
45,kodiak,57.79,-152.4072,273.88,69,100,6.17,US,1711575635
46,adamstown,-25.066,-130.1015,297.91,65,35,5.72,PN,1711575614
